Name,Description
Rough Skin,Inflicts damage to the attacker on contact.
Magician,The Pokémon steals the held item of a Pokémon it hits with a move.
Light Metal,Halves the Pokémon's weight.
Huge Power,Raises the Pokémon's Attack stat.
Harvest,May create another Berry after one is used.
Forewarn,Determines what moves a foe has.
Wonder Skin,Makes status-changing moves more likely to miss.
Suction Cups,Negates all moves that force switching out.
Simple,Doubles all stat changes.
Sand Stream,The Pokémon summons a sandstorm in battle.
Drought,Turns the sunlight harsh when the Pokémon enters a battle.
Cheek Pouch,Restores additional HP when a Berry is consumed.
Zen Mode,Changes form when HP drops below half.
White Smoke,Prevents other Pokémon from lowering its stats.
Symbiosis,The Pokémon can pass an item to an ally.
Stakeout,Deals double damage to Pokémon switching in.
Solid Rock,Reduces damage from super-effective attacks.
Protean,Changes the Pokémon's type to its last used move.
Motor Drive,Raises Speed if hit by an Electric-type move.
Liquid Ooze,Damages attackers using any draining move.
Honey Gather,The Pokémon may gather Honey from somewhere.
Grassy Surge,The Pokémon creates a Grassy Terrain when it enters a battle.
Forecast,Castform transforms with the weather.
Fluffy,"Halves damage from contact moves, but doubles damage from Fire-type moves."
Flower Veil,Prevents lowering of ally Grass-type Pokémon's stats.
Download,Adjusts power according to a foe's defenses.
Dancer,Copies the foe's Dance moves.
Aroma Veil,Protects allies from attacks that limit their move choices.
Truant,Pokémon can't attack on consecutive turns.
Steam Engine,Drastically raises Speed when hit by a Fire- or Water-type move.
Ripen,Doubles the effect of berries.
Refrigerate,Turns Normal-type moves into Ice-type moves.
Pure Power,Raises the Pokémon's Attack stat.
Psychic Surge,The Pokémon creates a Psychic Terrain when it enters a battle.
Prism Armor,Reduces damage from super-effective attacks.
Power Construct,Changes form when HP drops below half.
Poison Heal,Restores HP if the Pokémon is poisoned.
Pixilate,Turns Normal-type moves into Fairy-type moves.
Neutralizing Gas,Neutralizes abilities of all Pokémon in battle.
Mega Launcher,Boosts the power of aura and pulse moves.
Marvel Scale,Ups Defense if there is a status problem.
Magma Armor,Prevents the Pokémon from becoming frozen.
Long Reach,The Pokémon uses its moves without making contact with the target.
Liquid Voice,All sound-based moves become Water-type moves.
Libero,Changes the Pokémon's type to its last used move.
Iron Barbs,Inflicts damage to the Pokémon on contact.
Immunity,Prevents the Pokémon from getting poisoned.
Heatproof,Weakens the power of Fire-type moves.
Gooey,Contact with the Pokémon lowers the attacker's Speed stat.
Galvanize,Normal-type moves become Electric-type moves and their power boosted.
Gale Wings,Gives priority to Flying-type moves.
Filter,Reduces damage from super-effective attacks.
Drizzle,The Pokémon makes it rain when it enters a battle.
Arena Trap,Prevents the foe from fleeing.
Water Compaction,Sharply raises Defense when hit by a Water-type move.
Water Bubble,"Halves damage from Fire-type moves, doubles power of Water-type moves used, and prevents burns."
Wandering Spirit,Swaps abilities with opponents on contact.
Turboblaze,Moves can be used regardless of Abilities.
Teravolt,Moves can be used regardless of Abilities.
Tangling Hair,Contact with the Pokémon lowers the attacker's Speed stat.
Stance Change,Changes form depending on moves used.
Stamina,Raises Defense when attacked.
Shields Down,Changes stats when HP drops below half.
Screen Cleaner,"Nullifies effects of Light Screen, Reflect, and Aurora Veil."
Schooling,Changes Wishiwashi to School Form.
Sand Spit,Creates a sandstorm when hit by an attack.
Punk Rock,Boosts sound-based moves and halves damage from the same moves.
Propeller Tail,Ignores moves and abilities that draw in moves.
Power of Alchemy,The Pokémon copies the Ability of a defeated ally.
Pastel Veil,Prevents the Pokémon and its allies from being poisoned.
Normalize,All the Pokémon's moves become the Normal type.
Mummy,Contact with this Pokémon spreads this Ability.
Multiscale,Reduces damage when HP is full.
Misty Surge,The Pokémon creates a Misty Terrain when it enters a battle.
Merciless,The Pokémon's attacks become critical hits if the target is poisoned.
Intrepid Sword,Boosts Attack in battle.
Illusion,Enters battle disguised as the last Pokémon in the party.
Ice Scales,Halves damage from Special moves.
Ice Face,Avoids damage from Physical moves for one turn.
Hunger Switch,Changes forms each turn.
Grass Pelt,Boosts the Defense stat in Grassy Terrain.
Gorilla Tactics,Boosts the Pokémon's Attack stat but only allows the use of the first selected move.
Fur Coat,Reduces damage from physical moves.
Flare Boost,Powers up special attacks when burned.
Electric Surge,The Pokémon creates an Electric Terrain when it enters a battle.
Defeatist,Lowers stats when HP drops below half.
Dauntless Shield,Boosts Defense in battle.
Cotton Down,Lowers foe's Speed when hit.
Corrosion,The Pokémon can poison Steel and Poison types.
Aura Break,Reduces power of Dark- and Fairy-type moves.
Aerilate,Turns Normal-type moves into Flying-type moves.
Wonder Guard,Only supereffective moves will hit.
Wimp Out,Switches out when HP drops below half.
Victory Star,Boosts the accuracy of its allies and itself.
Triage,Gives priority to restorative moves.
Toxic Boost,Powers up physical attacks when poisoned.
Surge Surfer,Doubles Speed during Electric Terrain.
Steely Spirit,Powers up ally Pokémon's Steel-type moves.
Steelworker,Powers up Steel-type moves.
Stalwart,Ignores moves and abilities that draw in moves.
Stall,The Pokémon moves after all other Pokémon do.
Soul-Heart,Raises Special Attack when an ally faints.
Slow Start,Temporarily halves Attack and Speed.
Shadow Shield,Reduces damage when HP is full.
RKS System,Changes type depending on held item.
Receiver,Inherits an ally's ability when it faints.
Queenly Majesty,Prevents use of priority moves.
Primordial Sea,Makes it rain heavily when the ability activates.
Power Spot,Just being next to the Pokémon powers up moves.
Perish Body,"When hit by a move that makes direct contact, the Pokémon and the attacker will faint after three turns unless they switch out of battle."
Parental Bond,Allows the Pokémon to attack twice.
Neuroforce,Powers up moves that are super effective.
Multitype,Changes type to match the held Plate.
Mirror Armor,Reflects any stat-lowering effects.
Mimicry,Changes type depending on the terrain.
Innards Out,Deals damage upon fainting.
Imposter,It transforms itself into the Pokémon it is facing.
Gulp Missile,Returns with a catch in its mouth after using Surf or Dive.
Full Metal Body,Prevents other Pokémon from lowering its stats.
Flower Gift,Powers up party Pokémon when it is sunny.
Fairy Aura,Raises power of Fairy type moves for all Pokémon in battle.
Emergency Exit,Switches out when HP falls below 50%.
Disguise,Avoids damage for one turn.
Desolate Land,Turns the sunlight extremely harsh when the ability activates.
Delta Stream,Creates strong winds when the ability activates.
Dazzling,Protects the Pokémon from high-priority moves.
Dark Aura,Raises power of Dark type moves for all Pokémon in battle.
Comatose,The Pokémon is always asleep but can still attack.
Color Change,Changes the Pokémon's type to the foe's move.
Berserk,Raises Special Attack when HP drops below half.
Battle Bond,Transform into Ash-Greninja after causing opponent to faint.
Battery,Raises power of teammates' Special moves.
Ball Fetch,Retrieves a Poké Ball from a failed throw.
Bad Dreams,Reduces a sleeping foe's HP.
Air Lock,Eliminates the effects of weather.
